,Job Title,Company,Location,Salary,Job Description,Post Date,Extract Date
87,"Software Engineer, Fullstack",CB Insights,"Remote in New York, NY+1 location",Estimated $101K - $128K a year,"Participate in code reviews and sprint planning, help identify opportunities, work through challenges and share knowledge with colleagues.",Posted30+ days ago,2022-05-05
88,Junior Software Engineer,Check Point Software Technologies Ltd.,"New York, NY",N/A,"2+ years of python programming.
Exposure to async python libraries (aiohttp/httx, aiobotocore, aioredis, starlette/FastAPI, etc.).",Posted30+ days ago,2022-05-05
89,Junior Software Developer,Democracy Prep Public Schools,"New York, NY 10035 (East Harlem area)",Estimated $72.5K - $91.9K a year,"Knowledge of cloud big data services and technologies.
Strong computer science knowledge, including software design patterns.
Google scripts experience a plus.",Posted30+ days ago,2022-05-05
90,"UI Front End Engineer, Apple Media Products",Apple,"New York, NY+1 location",N/A,"They develop the custom software used to process all the creative work, the tools that providers use to deliver that media, all the server-side systems, and the…",Posted30+ days ago,2022-05-05
91,"Co-Op, Telematics (Software / Computer Science) - Summer/Fal...",The Raymond Corporation,"Greene, NY 13778",N/A,"Telematics Software Engineering is a fast moving software team that is responsible for the design and implementation of telematics products, as well as post…",Posted30+ days ago,2022-05-05
92,new,Square,"New York, NY+1 location",N/A,"Provide technical leadership, mentor and coach junior engineers on the team.
Be proficient in one or more general-purpose software development programming…",PostedJust posted,2022-05-05
93,new,SAKS OFF 5TH,"New York, NY 10022 (Midtown area)+1 location",Estimated $119K - $151K a year,"The ideal candidate will have an established background in developing scalable systems, a strong technical background, great communication skills, and…",PostedToday,2022-05-05
94,Software Development Engineer II,"Canon U.S.A., Inc.","Hybrid remote in Melville, NY",N/A,"Perform requirements analysis, software design, and implementation of applications.
System integration experience and knowledge in integration with enterprise…",Posted30+ days ago,2022-05-05
95,.NET Software Developer (Remote Opportunity),Taylor Corporation,"Remote in Amsterdam, NY",Estimated $77.2K - $97.8K a year,"With Daily Pay, you can get paid on your very first day.
SQL Server (schemas, queries, stored procedures) – Should be able to write store procedures and…",Posted30+ days ago,2022-05-05
96,"Associate Software Engineer, VR",Major League Baseball,"New York, NY+2 locations",Estimated $82K - $104K a year,"Understanding of object-oriented programming.
Major League Baseball's Games and VR division, a global front-runner in sports video games and real-time data…",Posted20 days ago,2022-05-05
97,Software Verification Engineer - Remote Opportunity,"ENSCO, Inc.","Remote in Endicott, NY 13760",N/A,"Experience using the VectorCAST tool (or similar).
Experience using DOORS or a similar requirement management tool.
Must be a U.S. Citizen.",Posted30+ days ago,2022-05-05
98,"Software Developer 2, C#",Comcast,"Troy, NY 12180+4 locations",N/A,"Experience developing software systems with AWS.
Evaluates and plans software designs, test results and technical manuals.
Where can you make an impact?",Posted30+ days ago,2022-05-05
99,new,Capital One - US,"Remote in New York, NY+17 locations",N/A,"Collaborate with digital product managers, and deliver robust cloud-based solutions that drive powerful experiences to help millions of Americans achieve…",Posted1 day ago,2022-05-05
100,Junior Front End / Full Stack Software Engineer,Plectica,"Remote in New York, NY+1 location",Estimated $88.7K - $112K a year,"Systems Thinking is an increasingly popular method of analysis and problem solving, widely applicable in industry, government, not-for-profit, education,…",Posted30+ days ago,2022-05-05
101,new,Humanity,"Remote in Amsterdam, NY 12010",Estimated $86.5K - $110K a year,"Contributing to a high scale, complex, world renowned product and seeing real-time impact of your work on millions of travellers worldwide.",Posted4 days ago,2022-05-05
102,Software Engineers & Web Developers,1DocWay,"New York, NY",Estimated $47.9K - $60.7K a year,"Provide support to other engineers through code-reviews, peer-programming and weekly tutorials.
The 6 month program focuses on including elements of program…",Posted30+ days ago,2022-05-05
103,"ICG Technology, Full Time Software Development Analyst (Nort...",Citi,"New York, NY",N/A,"Technology Analysts participate in an intensive training program, where they receive in-depth education to learn the fundamentals of the Analyst role, including…",Posted30+ days ago,2022-05-05
104,Software Test Engineer,LT Technology Services,"Holtsville, NY",N/A,"Installed new software releases, system upgrades, evaluates and installs patches and resolves software related problems.
Executing the Test Cases in Polarion.",Posted9 days ago,2022-05-05
105,District Webmaster,Mount Vernon City School District,"Mount Vernon, NY 10553",N/A,The ideal applicant MUST be a High school graduate or have an equivalent with at least two years of experience and/or training in related fields; MUST be…,Posted30+ days ago,2022-05-05
106,"Staff Software Engineer, Liquidity",Ripple,"Remote in New York, NY",Estimated $160K - $202K a year,"8+ years of hands-on Software Development experience on large scale distributed systems, with the last 5-7+ years in Java or similar (Go, Python) and 2+ years…",Posted30+ days ago,2022-05-05
107,Front End Software Engineer,Kensho,"New York, NY 10007 (Financial District area)+1 location",N/A,"You will collaborate with colleagues from Design, Machine Learning, Product, and Infrastructure, as well as with other engineers within AI Toolkit.",Posted30+ days ago,2022-05-05
108,new,Brillio,"New York, NY",Estimated $134K - $170K a year,"Strong in any public cloud technologies (Azure, AWS, Google Cloud).
Strong in core JAVA and Spring, Spring Boot Frameworks.",Posted7 days ago,2022-05-05
109,Sr Backend Software Engineer (Python and Django)- REMOTE,Comcast,"Remote in New York, NY 10019",N/A,"7+ years of software engineering experience at strong software companies.
Collaborate with engineers, product managers, designers, and data scientists to evolve…",Posted30+ days ago,2022-05-05
110,Backend Software Engineer,Hungryroot,"Remote in New York, NY 10010",Estimated $113K - $143K a year,"The ideal candidate is obsessed with delivering the best possible customer experience, values software engineering best practices, and knows how to make the…",Posted30+ days ago,2022-05-05
111,Software Engineer,Wyng Microexperience Platform,"New York, NY+1 location",Estimated $96.4K - $122K a year,"Build scalable web services and APIs using Flask (Python) and Nginx.
Our Privacy-First Personalization platform, powered by a zero-party data API and privacy by…",Posted30+ days ago,2022-05-05
112,Associate Software Engineer,Level,"Remote in New York, NY 10013+5 locations",Estimated $83.1K - $105K a year,"Experience with one server-side language (Go, Java, Python, etc.).
Or client-side language (Android, iOS, React, Ember, Angular, Vue, Javascript, Typescript,…",Posted30+ days ago,2022-05-05
113,Senior Full Stack Engineer,Redesign Health,"New York, NY+1 location",Estimated $155K - $196K a year,"5+ years of software development experience with cloud applications.
Successful track record of delivering and maintaining reliable, scalable, traceable and…",Posted8 days ago,2022-05-05
114,QA Automation Engineer,Unqork,"Remote in New York, NY",Estimated $99.8K - $126K a year,"Report bugs and follow them through the complete bug life cycle.
Manual & automated testing of new software and application builds in both the pre- and post…",Posted14 days ago,2022-05-05
115,Software Engineer,Embark,"New York, NY 10048 (Financial District area)",N/A,"Exceptional programming skills and an obsession with building quality software.
For those new to coding - bachelor's degree in a technical or quantitative field…",Posted30+ days ago,2022-05-05
116,Python and/or C++ Software Engineer,"JPMorgan Chase Bank, N.A.","New York, NY+1 location",N/A,"Solid understanding of software engineering practices.
The position also involves managing the details of one's book of work, technical design, testing with…",Posted10 days ago,2022-05-05
117,new,Salesforce,"Remote in New York, NY 10036+1 location",N/A,"Manage key external and internal sustainability conversations and partnerships in support of the company sustainability strategy, spanning net zero to product…",Posted1 day ago,2022-05-05
118,Payments Software Engineer,Apple,"New York, NY+6 locations",N/A,"Develop highly reliable, scalable Java server platforms with an attention to detail - Collaboratively designing server APIs with cross-functional teams for an…",Posted30+ days ago,2022-05-05
119,"Staff Software Engineer, (Publish, Host and Monitor)",Domino Data Lab,"New York, NY",Estimated $155K - $197K a year,"Prior experience in a technical lead role, with responsibility for architectural decisions and the development of other software engineers.",Posted30+ days ago,2022-05-05
120,Java Software Engineer,American Technology Labs,"Clifton Park, NY 12065",Estimated $98K - $124K a year,"Develop the code, unit test the application and deploy the software.
Will work in Clifton Park, NY and/or various client sites throughout the U.S. Must be…",Posted30+ days ago,2022-05-05
